Year,Price per Gallon
2018,2.735
2017,2.408
2016,2.142
2015,2.448
2014,3.367
2013,3.526
2012,3.644
2011,3.527
2010,2.319
2009,1.894
2008,2.773
2007,2.341
2006,2.123
2005,1.832
2004,1.427
2003,1.139
2002,0.946
2001,1.026
2000,1.095
1999,0.765
1998,0.664
1997,0.835
1996,0.847
1995,0.766
1994,0.736
1993,0.758
1992,0.791
1991,0.813
1990,0.901
1989,0.773
1988,0.686
1987,0.684
1986,0.642
1985,0.924
1984,0.92
